part,scenario,strategy,n_seeds,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,recall_netral_mean,f1_netral_mean
empiris,empiris,baseline,3,0.8117333333333333,0.008124858973135057,0.7618333333333333,0.009400177303292406,0.5507666666666666,0.6038333333333333
empiris,empiris,class_weight,3,0.7761,0.01662317659173478,0.7408,0.01421231860042549,0.6667,0.5953
empiris,empiris,ros,3,0.7780333333333332,0.0030615900008546747,0.7388666666666666,0.003569780572154724,0.6313333333333334,0.5849666666666667
empiris,empiris,rus,3,0.7501000000000001,0.008129575634681058,0.7200333333333333,0.006601010023726162,0.7097333333333333,0.5837
simulasi,scenario_111,baseline,3,0.7453,0.011358256908522527,0.7117,0.009100000000000004,0.6799,0.5741333333333333
simulasi,scenario_111,ros,3,0.7460333333333334,0.01743741188747154,0.7145333333333334,0.014642859465737335,0.6556333333333333,0.5801
simulasi,scenario_631,baseline,3,0.8059666666666666,0.0024419937209856106,0.7345,0.004493328387732162,0.4028666666666667,0.5276
simulasi,scenario_631,ros,3,0.7772666666666667,0.0051471675058553734,0.7291666666666666,0.0033501243758006114,0.5551666666666667,0.5598
simulasi,scenario_811,baseline,3,0.7851666666666667,0.005089531740085015,0.7020333333333334,0.010900152904126312,0.36863333333333337,0.4720333333333333
simulasi,scenario_811,ros,3,0.7557,0.020179940535095694,0.7119,0.006941901756723476,0.6324333333333333,0.5491333333333334
