id,text_with_emoticon,sentimen_old,label_old,label_llm,confidence,reason
1887,"Personel Polres Mojokerto memberikan donasi yang akan digunakan membantu korban Bencana Alam Banjir dan Tanah Longsor di pulau Sumatra pada Selasa, 16 Desember 2025. @divisihumaspolri #PolriUntukMasyarakat #PolriPresisi #HumasPolri #HumasPoldaJatim #PoldaJatim #PolriPeduli 2 3 114",negatif,0,negatif,79,(dry-run) label simulasi untuk id 1887
1889,"Membalas @Iqbal_langdon Presiden Prabowo Subianto memimpin Sidang Kabinet Paripurna di Istana Negara, Jakarta, Senin (15/12/2025), membahas perkembangan strategis nasional dan penanganan bencana banjir serta tanah longsor di Aceh, Sumatra Utara, dan Sumatra Barat. Foto: BPMI Setpres/Laily Rachev 1 141",positif,2,positif,88,(dry-run) label simulasi untuk id 1889
1906,"""Kemensos berdagang timpanan filantropi salurkan aid logistik korban bangkai dan landslip Kemensos Gandeng Filantropi Salurkan Bantuan Logistik Korban Banjir Sumatra Dari thecuy.com 33",negatif,0,negatif,58,(dry-run) label simulasi untuk id 1906
1909,"Laporan jumlah korban meninggal dunia pada bencana banjir bandang dan longsor di Aceh, Sumatra Utara, dan Sumatra Barat perhari Jumat, 12 Desember 2025, mencapai 995 jiwa. Jumlah masyarakat yang mengungsi tercatat 884.800 jiwa. Hal terungkap dari data Badan Nasional Tampilkan lebih banyak 77",negatif,0,negatif,98,(dry-run) label simulasi untuk id 1909
1910,"Presiden Prabowo Subianto melanjutkan agenda peninjauan penanganan bencana banjir ke Kabupaten Langkat, Sumatra Utara, pada Sabtu (13/12/2025). Kunjungan ini dilakukan sehari setelah Kepala Negara menyambangi wilayah terdampak banjir di Provinsi Aceh. Presiden Prabowo yang Tampilkan lebih banyak 1 4 986",positif,2,positif,74,(dry-run) label simulasi untuk id 1910
1911,"Presiden Prabowo Subianto melanjutkan agenda peninjauan penanganan bencana banjir ke Kabupaten Langkat, Sumatra Utara, pada Sabtu (13/12/2025). Kunjungan ini dilakukan sehari setelah Kepala Negara menyambangi wilayah terdampak banjir di Provinsi Aceh. Presiden Prabowo bertolak Tampilkan lebih banyak 928",positif,2,positif,93,(dry-run) label simulasi untuk id 1911
1918,Prabowo Tanpa Lelah menegaskan pemulihan infrastruktur dan kebutuhan dasar adalah langkah prioritas Pemulihan Pasca Bencana bagi masyarakat yang ingin segera bangkit Prabowo Setujui Bantuan Rp60 Juta per Rumah untuk Korban Banjir Bandang di Aceh & Sumatra ·... Dari ifakta.co 27,negatif,0,negatif,68,(dry-run) label simulasi untuk id 1918
1933,"Tidak tepat menyalahkan Pemerintahan Presiden Prabowo. WWF Indonesia menilai musibah banjir bandang dan tanah longsor yg melanda Aceh, Sumatra Utara & Sumatra Barat adalah akumulasi dari tata kelola lingkungan yg bermasalah selama bertahun-tahun lampau. WWF Indonesia Sebut Banjir Sumatra Bukan Kesalahan Menhut Sekarang, Ini Alasannya Dari suara.com 2 10 16 805",negatif,0,negatif,88,(dry-run) label simulasi untuk id 1933
1962,"Intelektual Muda jangan lupa dengerin Info Aktual hari ini, Selasa, 9 Desember 2025, yang akan membahas mengenai Ferry Irwandi yang menghimpun 10M dalam waktu 24 jam untuk korban banjir di Sumatra, barengan sama aku Rista dan Exau #InfoAktual 75",negatif,0,negatif,92,(dry-run) label simulasi untuk id 1962
1969,"ya Allah, selamatkanlah saudara-saudari kami, ayah ibu kami, kakek nenek kami yang sedang berada dalam kesulitan dan kepayahan menghadapi bencana alam bertubi ini. berikanlah mereka senantiasa perlindungan-Mu, aamiin. #PrayForSumatera #PrayForAceh #PrayForPadang 1 43",positif,2,positif,91,(dry-run) label simulasi untuk id 1969
1981,gakuat sesegukan baca berita #PrayForSumatera 68,positif,2,positif,67,(dry-run) label simulasi untuk id 1981
1990,Akun parodi :: Ini foto kenyataan bukan rekayasa AI. #PrayForSumatera #PrayForTapanuli #PrayForAceh #PrayForSibolga #PrayForPrabowo Kerna ulah Oligarki rakyat banyak yg mati. *kapan revolusi.? [aku bertanya dengan hati-hati] •• 1 11 20 511,negatif,0,negatif,68,(dry-run) label simulasi untuk id 1990
2003,"Membalas @starfess Stay safe teman teman, semoga lekas pulih untuk yang terdampak #AllEyesOnSumatera #PrayForSumatera #PrayForTapanuli #PrayForSibolga #PrayForAceh 41",positif,2,netral,63,(dry-run) label simulasi untuk id 2003
2011,Membalas @MOQEELFORTRESS SEGERA TETAPKAN JADI BENCANA NASIONAL #AllEyesOnSumatera #PrayForSumatera 1 1 72,positif,2,positif,55,(dry-run) label simulasi untuk id 2011
2015,Akun parodi Sudah hancur luluh lantah begitu masih juga momonitor. Apa Menunggu IKRAR (Sumatera Merdeka) dulu baru kalian orang pusat peduli. Sadis kalian! #PrayForSumatera 3 6 13 406,negatif,0,negatif,57,(dry-run) label simulasi untuk id 2015
2017,"Turut berdukacita, Al Fatihah *Bhineka tunggal ika #PrayForSumatera #PrayForAceh #PrayForIndonesia 29",negatif,0,negatif,76,(dry-run) label simulasi untuk id 2017
2026,Akun komentar Update lokasi jembatan gunung nago dan lambung bukit #PrayForSumatera #PrayForSumatra #PrayForAceh 1 4 94,netral,1,positif,94,(dry-run) label simulasi untuk id 2026
2028,"Membalas @jyh_xc i don't fucking care masalah pemilu kemarin, 01, 02, 03 TERSERAH tp bisa ga sih otaknya di pake dulu? atleast buat kepedulian dan kemanusiaan aja deh sesama manusia, ga bisa ya? atau gimana? #PrayForSumatera 39",negatif,0,negatif,97,(dry-run) label simulasi untuk id 2028
2067,"ketika manusia mengambil terlalu banyak dari alam, maka alam akan mengambil bagian yang sama dari manusia #tessonilo #PrayForSumatera #PrayForIndonesia 41",positif,2,positif,81,(dry-run) label simulasi untuk id 2067
2074,Membalas @txtdrimedia apa yg mau di cek ya bangsat org udh jelas #PrayForSumatera #PrayForTapanuli #PrayForSibolga #PrayForAceh #SaveTessoNilo #SaveOrangutans #PrayForIndonesia 1 41,negatif,0,negatif,86,(dry-run) label simulasi untuk id 2074
2078,Mereka lapar Pak Ibu pejabat pengurus negeri... kalian dimana? #PrayForSumatera 85,negatif,0,negatif,66,(dry-run) label simulasi untuk id 2078
2082,Membalas @dyahNeZza Bgtulah...hanya celotehan aja. #PrayForSumatera 1 19,negatif,0,netral,94,(dry-run) label simulasi untuk id 2082
2083,Fii amanillah #PrayForSumatera 49,positif,2,netral,61,(dry-run) label simulasi untuk id 2083
2085,Membalas @MOQEELFORTRESS SEGERA TETAPKAN JADI BENCANA NASIONAL #AllEyesOnSumatera #PrayForSumatera #PrayForTapanuli #PrayForSibolga #PrayForAceh #PrayForPadang 1 396,positif,2,positif,85,(dry-run) label simulasi untuk id 2085
2094,Akun parodi SEGERA TETAPKAN JADI BENCANA NASIONAL #AllEyesOnSumatera #PrayForSumatera #PrayForTapanuli #PrayForSibolga #PrayForAceh #PrayForPadang 44,positif,2,positif,90,(dry-run) label simulasi untuk id 2094
2098,Kementerian Kehutanan mengklaim kayu-kayu tersebut adalah pepohonan tua yang tumbang saat diterjang derasnya banjir. Dari menteri kek si @RajaJuliAntoni Sampee anak buahnya PAOK semua..bangsat*ttt #PrayForSumatera 38,negatif,0,positif,66,(dry-run) label simulasi untuk id 2098
