id,text_with_emoticon,sentimen_old,label_old,label_llm,confidence,reason
4023,𝐁𝐍𝐏𝐁 𝐏𝐚𝐬𝐭𝐢𝐤𝐚𝐧 𝐋𝐨𝐠𝐢𝐬𝐭𝐢𝐤 𝐓𝐚𝐤 𝐌𝐞𝐧𝐠𝐞𝐧𝐝𝐚𝐩 𝐝𝐢 𝐒𝐞𝐥𝐮𝐫𝐮𝐡 𝐏𝐨𝐬𝐤𝐨 𝐁𝐞𝐧𝐜𝐚𝐧𝐚 Pengiriman bantuan logistik untuk masyarakat yang terdampak bencana banjir dan longsor di Sumatra dilakukan secepat mungkin. Badan Nasional Penanggulangan Bencana Tampilkan lebih banyak 74,positif,2,positif,66,(dry-run) label simulasi untuk id 4023
4031,"Di tengah banjir dan longsor,kepedulian tidak ikut tenggelam. Kerja Nyata BGN memastikan MBG tetap tersalurkan bagi yang membutuhkan. Hingga hari ini lebih dari 2,2 juta porsi bantuan telah disalurkan di Aceh #LanjutkanMBG Selasa Slank Air 86% #ZhangLinghe #OurFortunateShuaDay 3 262",positif,2,positif,80,(dry-run) label simulasi untuk id 4031
4038,"Membalas @indepenSumatera Bencana banjir bandang di 3 Provinsi, Pemerintah mengalokasikan Aceh 25 triliun, Sumatera Utara 13 triliun, Sumatera Barat 13 triliun. Belum lagi bantuan dari masyarakat dari berbagai pulau untuk membantu kesusahan masyarakat Aceh.Sekarang ada masyarakatnya merasa tidak puas ? 53",positif,2,positif,70,(dry-run) label simulasi untuk id 4038
4053,"Membalas @99propaganda @are_inismyname dan 5 lainnya Bagaimana Bapak Presiden Republik Indonesia menolak bantuan Asing ? Rakyat yg dipelosok masih dibiarkan menghadapi bencana banjir, kelaparan, berjuang bertahan hidup hingga kematian 1 bulan paska bencana! Harga Diri Apa yang Kau Maksud Bapak Presiden Republik Indonesia! 35",negatif,0,positif,95,(dry-run) label simulasi untuk id 4053
4063,salut sama dedikasi POLRI dalam menangani korban banjir di Sumatera. Semoga bantuan yg disalurkan bisa tepat sasaran dan bawa kebaikan utk semuanya 20,negatif,0,negatif,72,(dry-run) label simulasi untuk id 4063
4073,"NU Care-LAZISNU bersama NU Peduli melanjutkan penyaluran bantuan kemanusiaan kepada warga terdampak banjir bandang di Banda Tangah, Jorong Gando dan Cacang Batu, Jorong Subarang, Kabupaten Solok, Sumatra Barat. Bantuan berupa air minum, beras, paket sembako, dan kebutuhan lainnya Tampilkan lebih banyak 1 176",positif,2,positif,96,(dry-run) label simulasi untuk id 4073
4105,"Membalas @VIVAcoid @VIVAcoid ; kondisi yg masih sedemikian parah , apakah banjir bandang Sunatera masih layak dikatakan bencana lokal ?? 8 23 74 3 rb",negatif,0,positif,57,(dry-run) label simulasi untuk id 4105
4106,"Membalas @saturngguk Ya Allah, kok begini parah pemimpin Negeri ini. Mrk sama sekali tdk memhami apa yg dibutuhkan rakyat yg kena musibah, tdk memahami hati yg luluh-lantak diterjang banjir, tdk memahami orangtua yg kehilangan semuanya. Cabutlah jabtan Mrk ya Allah, gantilah dg pemimpin yg baik. 16",negatif,0,negatif,76,(dry-run) label simulasi untuk id 4106
4130,"Membalas @susipudjiastuti @prabowo dan @setkabgoid Presiden guoblok pooolll, banjir parah di Sumatera gak diambil pelajarannya. 1 38",negatif,0,negatif,87,(dry-run) label simulasi untuk id 4130
4133,Kaget karena sahabat gue di aceh tamiang. Bener bener aceh yg paling parah kena banjir bandang Na gue udah ikhlas sama kondisi apapun lu... tp pls gue ttp berdoa lu masih hidup na 35,negatif,0,negatif,99,(dry-run) label simulasi untuk id 4133
