id,text_with_emoticon,sentimen_old,label_old,label_llm,confidence,reason
7882,Langkah cepat Presiden Prabowo Pulihkan PascaBencana banjir Sumatera diwujudkan lewat Pembangunan Rumah Korban Bencana hunian sementara dibangun agar warga segera meninggalkan tenda pengungsian,negatif,0,negatif,88,(dry-run) label simulasi untuk id 7882
7906,loh apa salahnya kejar ambisi yg salah itu yg korupsi yg bikin rakyat sengsara spt di aceh .. hutan digunduli akhirnya longsor banjir bandang .. anies berambisi untuk mengakhiri kesengsaraan dgn cara merebut kekuasaan yg disyahkan oleh undang undang yaitu lewat partai politik,negatif,0,negatif,89,(dry-run) label simulasi untuk id 7906
7921,"Maluuuu wooooi yg dr luar Aceh pada kerja keras membantu para korban di Aceh eeeh kalian demo demo aja Maluuuu woooooi yg di bantu itu orang Aceh asli yg kena musibah itu Aceh Sumut Sumbar, kalian kerjanya demo demo aja",negatif,0,negatif,62,(dry-run) label simulasi untuk id 7921
7929,"Ribuan keluarga korban banjir dan longsor di Aceh, Sumatera Utara, dan Sumatera Barat memilih bertahan di luar hunian sementara dengan menerima Dana Tunggu Hunian (DTH) dari pemerintah. Badan Nasional Penanggulangan Bencana (BNPB) mencatat, hingga kini sebanyak 16.264 kepala",negatif,0,netral,86,(dry-run) label simulasi untuk id 7929
7941,Apa bakal kejadian lagi tahun baru banjir?,netral,1,positif,93,(dry-run) label simulasi untuk id 7941
7946,Penanganan Banjir Wilayah Sumatera dan Aceh Terus Berjalan,netral,1,netral,63,(dry-run) label simulasi untuk id 7946
7952,Dari dulu belim pernah denger BNPB di cek.. coba KPK/OJK/BI cek alur keluaf masuk uang di BNPB,negatif,0,negatif,81,(dry-run) label simulasi untuk id 7952
7956,"""Pusat kayaknya tutup mata,"" kata Ismail A Jalil, Bupati Aceh Utara. Dia menyatakan bencana banjir di Aceh 'lebih parah dari tsunami 2004. Dia menjelaskan, desa-desa berubah menjadi muara, dan rumah-rumah hanyut.",negatif,0,negatif,82,(dry-run) label simulasi untuk id 7956
7966,Brimob Sumut Bantu Pulihkan Sekolah Terdampak Banjir di Tanjung Pura @brimobpoldasumut Tim Produksi Humas Korps Brimob Polri #PrayForSumatra #Polriuntukmasyarakat #BrimobUntukNusadanBangsa #Jiwaragakudemikemanusiaan #humaskorbrimobpolri ©️,positif,2,positif,99,(dry-run) label simulasi untuk id 7966
7967,Bukanya partai mikir utk bantuan banjir Aceh..Sumut ???,negatif,0,negatif,65,(dry-run) label simulasi untuk id 7967
7979,"60 KK di Jambo Kajeung Masih Mengungsi, Butuh Bantuan Alat Berat Bersihkan Lumpur Warga terpaksa mengungsi karena rumah mereka mengalami kerusakan serta masih terendam lumpur setebal sekitar 50 sentimeter, baik di halaman maupun di dalam rumah.",negatif,0,negatif,58,(dry-run) label simulasi untuk id 7979
7990,"Butuh bertahun tahun hutan yang sudah si rusak bisa hijau kembali, jika hujan deras maka banjir bandang akan terus seperti ini. Pak pratikno kemarin koar koar mau rekayasa cuaca buktinya mana?? @prabowo @Gerindra @setkabgoid",negatif,0,negatif,92,(dry-run) label simulasi untuk id 7990
7993,Ga liat kembang api bikin dia meninggal terus keluarganya keseret banjir bandang kah? Ga punya hati bgt tu orang,negatif,0,negatif,86,(dry-run) label simulasi untuk id 7993
7997,"Kalau mau bicara sawit mbok yo tunggu penanganan banji sumatra-aceh maksimal dulu kek, hujan masih deras, banjir datang silih berganti, air mata belum kering, masyarakat masih ngungsi, tapi orang satu ini isi kepalanya cuma sawit.",negatif,0,positif,65,(dry-run) label simulasi untuk id 7997
8004,Saat rumah terendam harapan dijaga Projo Peduli Bencana bersama rakyat Sumatera Bersama Budi Arie Setiadi Projo Setia Digaris Rakyat mendukung pemulihan dan kerja keras pemerintah,positif,2,positif,93,(dry-run) label simulasi untuk id 8004
8010,"Sama banget Nder, disini hampir tiap malem hujan deres aku selalu kepikiran gimana kalo mereka kehujanan dan kena banjir lagii. Akhirnya nangis lagi, ya Allah berat cobaan saudara saudaraku disanaa",negatif,0,negatif,97,(dry-run) label simulasi untuk id 8010
8023,evakuasi korban banjir bikin nangis pagi² sedih,negatif,0,negatif,95,(dry-run) label simulasi untuk id 8023
8028,Seskab Teddy mengajak seluruh lapisan masyarakat untuk saling bantu dalam penanganan bencana banjir dan longsor di Sumatera. Teddy menekankan pentingnya gotong royong agar pemulihan berjalan lebih cepat dan menyeluruh.,positif,2,positif,70,(dry-run) label simulasi untuk id 8028
8029,Pempus apa tidak berpikir akan adanya kebangkitan ide separatis krn keterlambatan pempus dlm penanganan bencana dan kelakuan para menteri yg ngehek mengatasi banjir,negatif,0,negatif,56,(dry-run) label simulasi untuk id 8029
8039,"Dari awal juga bantuannya gak jelas. Mereka buat kebutuhan utama aja kurang, masa mau ditambah biaya listrik buat ngecas becak? Kebiasaan pemerintah, ngasih solusi ngasal, gak bener"" dipikir akar masalahnya apa. Oon",negatif,0,negatif,73,(dry-run) label simulasi untuk id 8039
8046,"Haru! Detik-detik distribusi bantuan udara untuk warga Sikundo, Aceh Barat yang terisolasi banjir. Akses jalan putus total, bantuan logistik jadi penyambung nyawa. ​Mari luangkan waktu sejenak untuk mendoakan keselamatan mereka. Semoga air segera surut! ​#BanjirAceh #AcehBarat",negatif,0,negatif,97,(dry-run) label simulasi untuk id 8046
8048,"Salah satunya, yang baru baru ini. Bencana banjir rob di Sumatra, menurut aku sudah sangat sangat parah sekali. Sudah menghasilkan banyak sekali korban jiwa. Idealnya, sebagai pemimpin negara yang benar, pak prabowo harus lebih cepat tanggap akan hal ini. Tetapi???",negatif,0,negatif,64,(dry-run) label simulasi untuk id 8048
8072,Muhammadiyah Terima Amanah Salurkan Bantuan Kemanusiaan UEA bagi Korban Banjir Gubernur Sumatera Utara Bobby Nasution memastikan bantuan kemanusiaan berupa beras sebanyak 30 ton dari Uni Emirat Arab (UEA) tetap disalurkan kepada para korban banjir. Bantuan tersebut dipastikan,negatif,0,negatif,67,(dry-run) label simulasi untuk id 8072
8075,"Lagian jalan lintas juga dari sumatra, sementara ini putus. Tanah longsor juga masih banyak menumpuk. Posisi aceh itu kalau jalur darat hanya bisa datang dri sumut. Kami saja di medan kesulutan ke kuala simpang.",negatif,0,negatif,61,(dry-run) label simulasi untuk id 8075
8083,"Dalam penanggulangan bencana, Pemerintah Hadir dan Pemerintah Bareng Warga dari awal hingga pemulihan. Bersama, Aceh Sumatra Pulih, harapan tumbuh, dan Aceh Sumatra Bangkit lewat komitmen Pemerintah Sigap untuk Aceh Sumatra. #AcehSumateraPulih",positif,2,positif,58,(dry-run) label simulasi untuk id 8083
