id,text_with_emoticon,sentimen_old,label_old,label_llm,confidence,reason
454,Pemerintah menyiapkan hunian tetap (huntap) gratis bagi warga terdampak banjir dan longsor di wilayah utara Sumatera yang kehilangan rumah. Huntap tipe 36 ini dibangun dengan APBN dan akan menjadi hak milik penerima. Saat ini pemerintah menunggu pendataan korban serta kesiapan l 143,positif,2,netral,95,Memberikan informasi faktual tentang bantuan pemerintah berupa hunian tetap bagi warga terdampak.
481,"Bareskrim Polri telah menetapkan tersangka dalam kasus pembalakan liar yang diduga menyebabkan banjir hebat di Sumatera Utara. Penetapan mencakup korporasi dan individu, dan pelaku akan dijerat dengan pidana lingkungan hidup serta TPPU. Bareskrim Polri tetapkan tersangka kasus pembalakan liar di Sumut Dari antaranews.com 5 30 33 103",positif,2,netral,95,Memberikan informasi faktual tentang penetapan tersangka kasus pembalakan liar.
514,"Badan Nasional Penanggulangan Bencana (BNPB) mencatat korban meninggal akibat bencana banjir bandang dan longsor di sejumlah wilayah Sumatera mencapai 1.177 orang per 4 Januari 2026. Jumlah tersebut bertambah 10 korban dari hari sebelumnya, dengan sebaran di Aceh Utara, Tampilkan lebih banyak 148",netral,1,netral,90,Menyampaikan informasi faktual mengenai jumlah korban meninggal akibat bencana.
520,"Gubernur Aceh, Muzakir Manaf yang akrab disapa Mualem, meninjau langsung kesiapan bantuan alat berat di gudang transit Tanjung Morawa, Sumatera Utara. Alat-alat berat ini disiapkan khusus untuk menangani dampak kerusakan infrastruktur akibat banjir bandang yang melanda Aceh. Tampilkan lebih banyak 19 93 451 22 rb",positif,2,netral,95,Memberikan informasi faktual tentang peninjauan kesiapan bantuan alat berat oleh gubernur.
529,"Bersama kita dukung korban banjir di Sumatera Utara! Video bantuan logistik dan layanan terus mengalir demi kebangkitan mereka. Ayo, semangat terus! 8",positif,2,positif,98,Mengajak untuk mendukung korban banjir dan memberikan semangat.
542,"Operasi Aman Nusa II, Brimob Batalyon A Evakuasi Puluhan Warga Terdampak Banjir di Tapanuli Tengah Tapanuli Tengah – Personel Batalyon A Satuan Brimob Polda Sumatera Utara bergerak cepat melakukan evakuasi warga yang terdampak banjir 41",positif,2,netral,95,Memberikan informasi faktual tentang operasi evakuasi warga terdampak banjir oleh Brimob.
557,"Hujan deras yang kembali mengguyur Kota Sibolga, Sumatera Utara, membuat air Sungai Aek Doras meluap, Jumat (2/1/2026). Kondisi ini membuat warga sekitar cemas lantara banjir bandang yang dikhawatirkan akan kembali menerjang. 201",negatif,0,negatif,90,Menyatakan kecemasan warga akan potensi banjir bandang yang kembali menerjang.
559,"Sekretaris Kabinet (Seskab) Teddy Indra Wijaya menyebut, pembangunan rumah ini seiring dengan perbaikan fasilitas publik yang sempat rusak karena banjir bandang dan tanah longsor di Aceh, Sumatera Utara (Sumut), dan Sumatera Barat (Sumbar). Baca selengkapnya Tampilkan lebih banyak 1 826",negatif,0,netral,95,Memberikan informasi faktual tentang rencana pembangunan kembali fasilitas publik yang rusak.
580,"BREAKING NEWS Tetap Fokus Jgn Tinggalkan Saudara Kita Di Aceh,Sumatera Utara,Sumatera Barat Yg Masih Butuh Bantuan&Pertolongan. Yaa Allah Lindungilah Saudara2 Kami Yg Dilanda Musibah Banjir&Longsor,Berilah Kesehatan,Keselamatan&Kekuatan Cc @salimafillah #PrayForSumatera 1 1 3 108",positif,2,positif,98,Berisi doa dan seruan untuk tidak meninggalkan saudara yang membutuhkan bantuan.
593,"Bencana banjir bandang dan longsor melanda Aceh, Sumatera Utara, dan Sumatera Barat. Ribuan warga kehilangan rumah, harta benda, bahkan orang tercinta. Di tengah situasi sulit ini, Polri hadir menyalurkan bantuan kemanusiaan dan menerjunkan personel ke lokasi terdampak. 37",negatif,0,netral,90,Memberikan informasi faktual tentang bencana dan bantuan kemanusiaan yang disalurkan oleh Polri.
