id,text_with_emoticon,sentimen_old,label_old,label_llm,confidence,reason
7456,"Ya allah aku ingatkan banjir kat malaysia dah teruk, then tengok hatyai punya terkejut gak lah keadaan kat sana jadi macam tu, tapi bila tengok kat sumatra and aceh punya banjir fuh lagi mengucap panjang aku dah rupa macam tsunami allahuu. Takutnyaaa semoga selamat tetangga ku 1 176",negatif,0,negatif,72,(dry-run) label simulasi untuk id 7456
7461,Dimana mana masih banjir pada kerendem banjir rumahnya bejil… ngeliat perabotan orang di depan rumah ketutupan lumpur ya allah sedih banget. Semoga hujannya ga turun lagi 2 36,negatif,0,negatif,56,(dry-run) label simulasi untuk id 7461
7463,"Apakah ada info open donasi pakaian layak pakai untuk dikirim ke saudara2 kita yang lagi kena musibah banjir, dsb nya ga ya? 120",netral,1,positif,93,(dry-run) label simulasi untuk id 7463
7471,"Akun komentar Pada saat banyak orang yang menghujat program ini langsung dicounter yang punya alam semesta, ingat jangan lawan orang baik, yang balas bukan dia lagi. langsung dikasih paham kan manfaat nya seperti apa, jadi buat yg sering DFK mbg semoga secepatnya kalian sembuh ya, #Banjir 3 9 17 1 rb",negatif,0,negatif,65,(dry-run) label simulasi untuk id 7471
7474,"ga terdampak banjir (Alhamdulillah bgt) tp kena efek pemadaman listrik bergilir dan sinyal bener2 terputus. get well really soon, Aceh. I’m just here to earn a living. jangan ngambek lagi ya bumiku 2 188",negatif,0,positif,57,(dry-run) label simulasi untuk id 7474
7489,"Membalas @TrendAsia_Org Ya betol!!..oknum2 pemimpin daerah itu paling pinter klau sdh bicara politik apalgi klau sudah coba2 mau korupsi,Suap ,Kolusi,Nepotisme.yg menguntungkan mereka dn klompoknya tp untuk mikirin nasib warganya bahkan beri solusi agar tdk trjadi banjir dn longsor lagi ngak becus!. 1 33 4 rb",negatif,0,negatif,72,(dry-run) label simulasi untuk id 7489
7502,"Membalas @tanyarlfes Boro boro panas kak, rumahku kebanjiran. Yang dari dulu gak pernah banjir sekarang kena banjir, jalanan semua bnjir parah. Ujan gak berhenti dari hari senin, hari ini gak bisa berangkat kerja karena jalan semua ke rendem banjir. Do'ain medan cepet pulih lagi ya kawan kawan 16 893",negatif,0,negatif,80,(dry-run) label simulasi untuk id 7502
7513,"gais sumpah satu sumut ini lagi banjir besar ya. rumah nenek ku biasanya klo hujan gede pun yg kena banjir cuma garasi, ini hampir satu rumah kena bahkan r. keluarga udh basah2 dikit. #PrayForSUMUT 38",negatif,0,negatif,55,(dry-run) label simulasi untuk id 7513
7525,"Aceh, Tapsel, Sulut, Sumbar, bencana banjir dan longsor dalam satu waktu.. Ya Allah..... Semoga Jokowi dan luhut tenggelam gak balik lagi 2 194",negatif,0,negatif,71,(dry-run) label simulasi untuk id 7525
7534,Chiew meluahkan rasa bimbang dan kecewa apabila insiden sama terus berulang walaupun pelbagai usaha kononnya telah dijalankan oleh agensi berkaitan. #MalaysiaMADANI #RancakkanMADANI #Banjir2025 #NADMA Banjir: ‘Ada Yang Tak Kena Di Beberapa Kawasan Di Miri’ Dari harapanmadani.com 21,negatif,0,negatif,82,(dry-run) label simulasi untuk id 7534
7537,"Membalas @GoettheKing dan @bo7124083 Lu misal kalau disuruh atasan lu buat adu domba/aduk tai di Banjir Sumatera ini, tau lokasi-lokasi peristiwa dulu anjay. Terus bikin narasi yang bagusan dikit, lu malah nyambungin aksi orang menjarah yang beda tempat dari Banda Aceh cuma karena DPRK-nya mengkritik masalah listrik 1 149",negatif,0,negatif,88,(dry-run) label simulasi untuk id 7537
7553,Membalas @UTurbianto3766 Terima kasih atas perhatian dan dukungannya. Polri melalui Polda Sumatera Barat terus mengintensifkan distribusi bantuan logistik ke wilayah terdampak banjir bandang dan tanah longsor secara bertahap dan terkoordinasi. Seluruh bantuan disalurkan sesuai kebutuhan lapangan untuk Tampilkan lebih banyak 33,positif,2,positif,64,(dry-run) label simulasi untuk id 7553
7554,Bupati Al-Farlaky Tidak henti henti nya terus Mengantarkan Bantuan ke berbagai Pelosok Aceh Timur yang terdampak Banjir 23,positif,2,positif,90,(dry-run) label simulasi untuk id 7554
7557,"Membalas @humaniesproject dan @irmapikajoon DARI PENGAMATAN LAPANGAN KONDISI ACEH TAMIANG PALING PARAH TERKENA DAMPAK BANJIR LONGSOR. USAHA PENANGGULANGAN YG DILAKUKAN WARGA SETEMPAT, DIBANTU DARI PARA RELAWAN & PEMERINTAH DAERAH TERUS BERLANGSUNG DGN TANTANGAN KONDISI MEDAN YG BERAT. ALHAMDULILLAH SEBAGIAN TERKENDALI. 1 59 7 rb",negatif,0,negatif,68,(dry-run) label simulasi untuk id 7557
7559,MASYA ALLAH.... Saluuttt! Lihat Ketabahan dan Kesabaran Jiwa Warga Aceh Korban Banjir Bandang Yang Masih Tetap Bisa Melucu dan Tertawa Karena Baju Daster yang Mereka Dapat Sehat-sehat terus dan In syaa Allah semuanya cepat pulih dan normal kembali yaa saudara-saudara di Tampilkan lebih banyak 1 6 36 1 rb,negatif,0,negatif,64,(dry-run) label simulasi untuk id 7559
